id,Cyto,Cyto_num,SRWC,SL,RL,Total_chl,SES,K,Na,KbyNa
190,IR,2,66.69,38.28,13.22,4.84,6.61,0.37,3.1,0.1194
191,IR,2,67.88,35.22,14.78,5.15,5.89,0.32,2.97,0.1077
192,IR,2,77.44,41.5,10.44,5.47,4.89,0.35,2.38,0.1471
193,IR,2,70.92,35.61,9.17,4.15,6.67,0.27,3.26,0.0828
194,IR,2,65.47,37.44,10.11,5.11,5.61,0.31,2.24,0.1384
195,IR,2,69.58,40.06,12.61,5.58,4.5,0.42,2.36,0.178
196,IR,2,76.12,30.57,10.83,4.91,7.5,0.32,4.14,0.0773
197,IR,2,71,39.55,10.17,5.45,5.89,0.35,2.94,0.119
198,IR,2,70.14,37.33,12.56,3.84,5.33,0.36,3.08,0.1169
199,IR,2,64.45,37.83,10.5,4.27,6.5,0.33,3.49,0.0946
200,IR,2,70.1,38.11,9.94,4.06,6.61,0.37,3.32,0.1114
201,IR,2,69.91,38.55,12.06,4.15,6.5,0.36,3.94,0.0914
202,IR,2,71.81,34,9.83,4.89,6.11,0.33,2.54,0.1299
